phase,state,channel,reference_start,reference_end,reference_delta,reference_active_duration,reference_average_velocity,reference_peak_velocity,reference_wheel_integral,fsm_start,fsm_command_end,fsm_actual_end,fsm_delta,fsm_active_duration,fsm_average_velocity,fsm_peak_velocity,fsm_wheel_integral,endpoint_error_percent,delta_error_percent,duration_error_percent,velocity_error_percent,wheel_integral_error_percent,within_15_percent,within_30_percent,within_active_tolerance,conformance_policy_schema,conformance_tolerance_percent,reference_actual_end,reference_actual_delta,reference_actual_wheel_integral,fsm_command_delta,fsm_actual_delta,fsm_command_wheel_integral,fsm_actual_wheel_integral,command_endpoint_error_percent,actual_endpoint_error_percent,command_delta_error_percent,actual_delta_error_percent,average_velocity_error_percent,peak_velocity_error_percent,command_average_velocity_error_percent,command_peak_velocity_error_percent,command_wheel_integral_error_percent,actual_wheel_integral_error_percent,trajectory_rmse,trajectory_rmse_percent,active_sample_count,reference_measured_average_velocity,fsm_measured_average_velocity,measured_average_velocity_error_percent,reference_measured_peak_velocity,fsm_measured_peak_velocity,measured_peak_velocity_error_percent,channel_kind,wheel_velocity_gate_basis,wheel_integral_gate_basis,reference_wheel_surface_travel,fsm_wheel_surface_travel,wheel_surface_travel_error_percent,reference_command_wheel_surface_travel,fsm_command_wheel_surface_travel,command_wheel_surface_travel_error_percent,reference_actual_wheel_surface_travel,fsm_actual_wheel_surface_travel,actual_wheel_surface_travel_error_percent
P04,FL_UNLOAD_PREP,rear_left_hip,17.5,6.9,-10.6,4.799999999999727,2.2083333333334587,150.0,0.0,17.5,6.9,8.346970306193901,-8.793718292229675,4.800000000000001,2.208333333333333,150.00000000000853,0.0,0.17446783916468006,5.759855032942618,5.6991448597427944e-12,10.119260929460237,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,8.365463897145357,-9.404262925721593,0.0,-10.6,-8.793718292229675,0.0,0.0,0.0,0.17446783916468006,0.0,5.759855032942618,3.770317391627032e-12,5.6843418860808015e-12,3.770317391627032e-12,5.6843418860808015e-12,0.0,0.0,0.4777798330730955,4.50735691578392,578,2.6677643844675307,2.3706100935474894,8.914628727601238,40.77779004320147,36.65137906746246,10.119260929460237,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P04,FL_UNLOAD_PREP,front_left_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,-0.0772828757762909,-0.12928038835525513,4.800000000000001,0.2750000000000007,0.3,1.3200000000000034,0.0,0.0,5.6991448597427944e-12,7.601253493407302,0.31857569301646965,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.059043314307928085,-0.10104450955986977,1.604287749206711,0.0,-0.12928038835525513,1.3200000000000034,1.6093986200217245,0.0,10.943736881017683,0.0,16.941527277231213,2.422304781000341e-13,0.0,2.422304781000341e-13,0.0,5.938011025647008e-12,0.31857569301646965,0.0,0.0,578,0.3339746975747604,0.33540941266384083,0.42958795965651825,0.7138329744338989,0.6595727205276489,7.601253493407302,wheel,effective_drive_target,"max(command_target,measured_actual)",0.06598679780959711,0.06598679780960104,0.31857569301646965,0.06598679780959711,0.06598679780960104,5.938011025647008e-12,0.08019834192069916,0.08045383434426075,0.31857569301646965
P04,FL_UNLOAD_PREP,front_right_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,-0.08218737691640854,-0.10886367410421371,4.800000000000001,0.2750000000000007,0.3,1.3200000000000034,0.0,0.0,5.6991448597427944e-12,24.26166407085502,0.30817927590017,False,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.0887410119175911,-0.04492754489183426,1.278427702087526,0.0,-0.10886367410421371,1.3200000000000034,1.2744878528523256,0.0,3.9321810007095332,0.0,38.361677527427666,2.422304781000341e-13,0.0,2.422304781000341e-13,0.0,5.938011025647008e-12,0.30817927590017,0.0,0.0,578,0.2680296645061496,0.26781444071315125,0.08029849733048401,0.47630536556243896,0.36074575781822205,24.26166407085502,wheel,effective_drive_target,"max(command_target,measured_actual)",0.06598679780959711,0.06598679780960104,0.30817927590017,0.06598679780959711,0.06598679780960104,5.938011025647008e-12,0.0639085987059411,0.06371164564921117,0.30817927590017
P04,FL_UNLOAD_PREP,rear_left_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,0.1861661821603775,0.18816819600760937,4.800000000000001,0.2750000000000007,0.3,1.3200000000000034,0.0,0.0,5.6991448597427944e-12,0.12192850597802711,0.11184002002057761,True,True,True,wlr50_clean.conformance_policy.v2,30.0,0.2266872227191925,0.22878007357940078,1.3236263457516988,0.0,0.18816819600760937,1.3200000000000034,1.3251066897217851,0.0,24.312624335288998,0.0,24.367126543074843,2.422304781000341e-13,0.0,2.422304781000341e-13,0.0,5.938011025647008e-12,0.11184002002057761,0.0,0.0,578,0.2749215122410369,0.27514675554934864,0.08193004122364549,0.3030620217323303,0.30343154072761536,0.12192850597802711,wheel,effective_drive_target,"max(command_target,measured_actual)",0.06598679780959711,0.06598679780960104,0.11184002002057761,0.06598679780959711,0.06598679780960104,5.938011025647008e-12,0.06616807882771075,0.0662420812203189,0.11184002002057761
P04,FL_UNLOAD_PREP,rear_right_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,-0.03650546446442604,0.16451303288340569,4.800000000000001,0.2750000000000007,0.3,1.3200000000000034,0.0,0.0,5.6991448597427944e-12,20.339170292899542,0.40466802524457035,False,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.03231290355324745,0.20469873771071434,1.023589120564613,0.0,0.16451303288340569,1.3200000000000034,1.0277312584454201,0.0,2.515536546707153,0.0,24.11142289638519,2.422304781000341e-13,0.0,2.422304781000341e-13,0.0,5.938011025647008e-12,0.40466802524457035,0.0,0.0,578,0.21482215748268427,0.21483493930818093,0.0059499567672346805,0.5082479119300842,0.6116213202476501,20.339170292899542,wheel,effective_drive_target,"max(command_target,measured_actual)",0.06598679780959711,0.06598679780960104,0.40466802524457035,0.06598679780959711,0.06598679780960104,5.938011025647008e-12,0.051169218438488095,0.051376283904276204,0.40466802524457035
P05,FL_ACTIVE_LIFT_AND_PLACE,front_left_hip,0.0,22.8,22.8,9.733333333332784,7.561643835616865,150.0,0.0,0.0,22.8,25.756556141804033,25.047564603390565,9.733333333333334,7.561643835616438,150.00000000000864,0.0,1.619428865119014,1.9852821064015886,5.657574865213446e-12,0.28302111682023917,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,26.12578592305117,25.500208923650128,0.0,22.8,25.047564603390565,0.0,0.0,0.0,1.619428865119014,0.0,1.9852821064015886,5.638002142443955e-12,5.760133111228545e-12,5.638002142443955e-12,5.760133111228545e-12,0.0,0.0,0.1078161873704259,0.47287801478256974,1170,7.647766155118751,7.626121361934733,0.28302111682023917,120.84047177705263,120.59136111764393,0.20614836713671758,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05,FL_ACTIVE_LIFT_AND_PLACE,front_left_knee,-22.9,-13.4,9.499999999999998,9.733333333332784,3.8116438356166547,150.0,0.0,-22.9,-13.4,-12.317211898051788,0.8483982873747937,9.733333333333334,3.811643835616439,150.00000000000853,0.0,0.14751411189024569,0.24353219227501652,5.657574865213446e-12,0.38332689447869817,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-12.331225738681361,0.8715338456409203,0.0,9.499999999999998,0.8483982873747937,0.0,0.0,0.0,0.14751411189024569,0.0,0.24353219227501652,5.662316976481448e-12,5.6843418860808015e-12,5.662316976481448e-12,5.6843418860808015e-12,0.0,0.0,0.24271958591411447,2.5549430096222583,1170,5.564369883112962,5.563510653843991,0.015441627480206123,109.57826847726699,109.99831145084443,0.38332689447869817,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05,FL_ACTIVE_LIFT_AND_PLACE,front_left_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,-0.00043599322088994086,0.07684688255540095,9.733333333333334,0.25273972602740064,0.3,2.460000000000033,0.0,0.0,5.657574865213446e-12,0.06478357288896192,0.04075843866450638,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.00047993927728384733,0.034689602558501065,2.4620230221926014,0.0,0.07684688255540095,2.460000000000033,2.461019540049195,0.0,0.02636763383634388,0.0,25.29436799813993,1.3837169892279397e-12,0.0,1.3837169892279397e-12,0.0,7.0223862858408205e-12,0.04075843866450638,0.0,0.0,1170,0.25272202823805734,0.2526719905236634,0.019799506494464145,0.3023310601711273,0.30252692103385925,0.06478357288896192,wheel,effective_drive_target,"max(command_target,measured_actual)",0.12297539591788553,0.12297539591789416,0.04075843866450638,0.12297539591788553,0.12297539591789416,7.0223862858408205e-12,0.12307652679394368,0.12302636272325997,0.04075843866450638
P05,FL_ACTIVE_LIFT_AND_PLACE,front_right_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,-0.15655472874641418,-0.07436735183000565,9.733333333333334,0.25273972602740064,0.3,2.460000000000033,0.0,0.0,5.657574865213446e-12,3.6801707044179963,1.2232440168883671,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.1748153269290924,-0.08510437607765198,0.7061534120390408,0.0,-0.07436735183000565,2.460000000000033,0.7147913914018614,0.0,10.956358909606932,0.0,6.442214548587798,1.3837169892279397e-12,0.0,1.3837169892279397e-12,0.0,7.0223862858408205e-12,1.2232440168883671,0.0,0.0,1170,0.13124990614178852,0.12649924392597034,2.850397329490911,0.4817969799041748,0.4640660285949707,3.6801707044179963,wheel,effective_drive_target,"max(command_target,measured_actual)",0.12297539591788553,0.12297539591789416,1.2232440168883671,0.12297539591788553,0.12297539591789416,7.0223862858408205e-12,0.03530060789604542,0.03573242047005902,1.2232440168883671
P05,FL_ACTIVE_LIFT_AND_PLACE,rear_left_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,0.1692347526550293,-0.016931429505348206,9.733333333333334,0.25273972602740064,0.3,2.460000000000033,0.0,0.0,5.657574865213446e-12,3.524476864612725,2.358409983443402,True,True,True,wlr50_clean.conformance_policy.v2,30.0,0.08474545180797577,-0.06803534924983978,3.1531252033385893,0.0,-0.016931429505348206,2.460000000000033,3.2274888229245966,0.0,50.69358050823211,0.0,30.662351846694943,1.3837169892279397e-12,0.0,1.3837169892279397e-12,0.0,7.0223862858408205e-12,2.358409983443402,0.0,0.0,1170,0.3252047601386777,0.33117503724419156,1.8358516963183216,0.5847263336181641,0.5641177892684937,3.524476864612725,wheel,effective_drive_target,"max(command_target,measured_actual)",0.12297539591788553,0.12297539591789416,2.358409983443402,0.12297539591788553,0.12297539591789416,7.0223862858408205e-12,0.1576247236826213,0.1613421609023273,2.358409983443402
P05,FL_ACTIVE_LIFT_AND_PLACE,rear_right_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,0.027685068547725677,0.06419053301215172,9.733333333333334,0.25273972602740064,0.3,2.460000000000033,0.0,0.0,5.657574865213446e-12,1.2256433114788465,2.6666462879369917,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.022109057754278183,0.016212940216064453,2.577017138207013,0.0,0.06419053301215172,2.460000000000033,2.6457370700625105,0.0,29.876475781202313,0.0,28.786555677652355,1.3837169892279397e-12,0.0,1.3837169892279397e-12,0.0,7.0223862858408205e-12,2.6666462879369917,0.0,0.0,1170,0.2717141398450093,0.27504438602636194,1.2256433114788465,0.3983379900455475,0.40023645758628845,0.4765971582383816,wheel,effective_drive_target,"max(command_target,measured_actual)",0.12297539591788553,0.12297539591789416,2.6666462879369917,0.12297539591788553,0.12297539591789416,7.0223862858408205e-12,0.12882508246268365,0.13226039174210658,2.6666462879369917
P06,FRONT_PAIR_ADVANCE,front_left_ankle,0.0,0.0,0.0,25.533333333331882,0.3,0.3,7.659999999999564,0.0,0.0,-0.025507856160402298,-0.025071862939512357,25.533333333333335,0.29999999999998567,0.3,7.659999999999634,0.0,0.0,5.690835096460134e-12,2.688391903115966,0.07803576623568119,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.04622725397348404,-0.04574560929904692,6.71113146949355,0.0,-0.025071862939512357,7.659999999999634,6.716368552358853,0.0,12.431638687849043,0.0,12.404247815720735,4.773959005888173e-12,0.0,4.773959005888173e-12,0.0,9.160064641816435e-13,0.07803576623568119,0.0,0.0,3066,0.2626975724420229,0.2628822484153171,0.07029984006987666,0.3847907781600952,0.39513546228408813,2.688391903115966,wheel,effective_drive_target,"max(command_target,measured_actual)",0.38292338728902564,0.3829233872890292,0.07803576623568119,0.38292338728902564,0.3829233872890292,9.160064641816435e-13,0.3354894510235761,0.3357512527873222,0.07803576623568119
P06,FRONT_PAIR_ADVANCE,front_right_ankle,0.0,0.0,0.0,25.533333333331882,0.3,0.3,7.659999999999564,0.0,0.0,-0.07326455414295197,0.08329017460346222,25.533333333333335,0.29999999999998567,0.3,7.659999999999634,0.0,0.0,5.690835096460134e-12,6.927080012968492,0.10658622773230186,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.0556923933327198,0.1199563704431057,5.741420145642895,0.0,0.08329017460346222,7.659999999999634,5.747539708794398,0.0,10.543296486139296,0.0,21.999717503786083,4.773959005888173e-12,0.0,4.773959005888173e-12,0.0,9.160064641816435e-13,0.10658622773230186,0.0,0.0,3066,0.2248179738866062,0.2250644546500313,0.10963570179198144,0.4805694818496704,0.44728004932403564,6.927080012968492,wheel,effective_drive_target,"max(command_target,measured_actual)",0.38292338728902564,0.3829233872890292,0.10658622773230186,0.38292338728902564,0.3829233872890292,9.160064641816435e-13,0.2870135835534143,0.28731950050520316,0.10658622773230186
P06,FRONT_PAIR_ADVANCE,rear_left_ankle,0.0,0.0,0.0,25.533333333331882,0.3,0.3,7.659999999999564,0.0,0.0,0.041520632803440094,-0.1277141198515892,25.533333333333335,0.29999999999998567,0.3,7.659999999999634,0.0,0.0,5.690835096460134e-12,2.340910454534315,0.19439954973571766,True,True,True,wlr50_clean.conformance_policy.v2,30.0,0.03686167672276497,-0.04872879758477211,8.464769270348171,0.0,-0.1277141198515892,7.659999999999634,8.481224743695895,0.0,2.7953736484050746,0.0,47.39119336009025,4.773959005888173e-12,0.0,4.773959005888173e-12,0.0,9.160064641816435e-13,0.19439954973571766,0.0,0.0,3066,0.3313226375233112,0.33198157613714263,0.19888125325727746,0.4937291741371155,0.5052869319915771,2.340910454534315,wheel,effective_drive_target,"max(command_target,measured_actual)",0.38292338728902564,0.3829233872890292,0.19439954973571766,0.38292338728902564,0.3829233872890292,9.160064641816435e-13,0.4231538017783238,0.42397641086367044,0.19439954973571766
P06,FRONT_PAIR_ADVANCE,rear_right_ankle,0.0,0.0,0.0,25.533333333331882,0.3,0.3,7.659999999999564,0.0,0.0,0.02631414495408535,-0.0013709235936403275,25.533333333333335,0.29999999999998567,0.3,7.659999999999634,0.0,0.0,5.690835096460134e-12,0.9654514033631753,0.15042107965146173,True,True,True,wlr50_clean.conformance_policy.v2,30.0,0.02711913362145424,0.05008804239332676,8.184636462564704,0.0,-0.0013709235936403275,7.659999999999634,8.172325044032167,0.0,0.48299320042133326,0.0,30.87537959218025,4.773959005888173e-12,0.0,4.773959005888173e-12,0.0,9.160064641816435e-13,0.15042107965146173,0.0,0.0,3066,0.3203554493414611,0.31986760331314135,0.15228273136061538,0.4840041995048523,0.479331374168396,0.9654514033631753,wheel,effective_drive_target,"max(command_target,measured_actual)",0.38292338728902564,0.3829233872890292,0.15042107965146173,0.38292338728902564,0.3829233872890292,9.160064641816435e-13,0.4091499631820788,0.40853451539006674,0.15042107965146173
