phase,state,channel,reference_start,reference_end,reference_delta,reference_active_duration,reference_average_velocity,reference_peak_velocity,reference_wheel_integral,fsm_start,fsm_command_end,fsm_actual_end,fsm_delta,fsm_active_duration,fsm_average_velocity,fsm_peak_velocity,fsm_wheel_integral,endpoint_error_percent,delta_error_percent,duration_error_percent,velocity_error_percent,wheel_integral_error_percent,within_15_percent,within_30_percent,within_active_tolerance,conformance_policy_schema,conformance_tolerance_percent,reference_actual_end,reference_actual_delta,reference_actual_wheel_integral,fsm_command_delta,fsm_actual_delta,fsm_command_wheel_integral,fsm_actual_wheel_integral,command_endpoint_error_percent,actual_endpoint_error_percent,command_delta_error_percent,actual_delta_error_percent,average_velocity_error_percent,peak_velocity_error_percent,command_average_velocity_error_percent,command_peak_velocity_error_percent,command_wheel_integral_error_percent,actual_wheel_integral_error_percent,trajectory_rmse,trajectory_rmse_percent,active_sample_count,reference_measured_average_velocity,fsm_measured_average_velocity,measured_average_velocity_error_percent,reference_measured_peak_velocity,fsm_measured_peak_velocity,measured_peak_velocity_error_percent,channel_kind,wheel_velocity_gate_basis,wheel_integral_gate_basis,reference_wheel_surface_travel,fsm_wheel_surface_travel,wheel_surface_travel_error_percent,reference_command_wheel_surface_travel,fsm_command_wheel_surface_travel,command_wheel_surface_travel_error_percent,reference_actual_wheel_surface_travel,fsm_actual_wheel_surface_travel,actual_wheel_surface_travel_error_percent
P01,INITIAL_LOAD_TRANSFER_FR,rear_left_hip,0.0,37.6,37.6,13.266666666666424,2.8341708542714086,150.0,0.0,0.0,37.6,38.94865787293201,38.73598217729987,13.266666666666666,2.834170854271357,150.00000000000054,0.0,0.0002270674591143427,0.16958809922057566,1.82098892079225e-12,0.6710921163525798,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,38.94874325029664,38.67221705199293,0.0,37.6,38.73598217729987,0.0,0.0,0.0,0.0002270674591143427,0.0,0.16958809922057566,1.545430450278218e-12,3.600083194517841e-13,1.545430450278218e-12,3.600083194517841e-13,0.0,0.0,0.06221076605420466,0.16545416503777835,1594,5.9021231621121455,5.862514478873791,0.6710921163525798,125.13103268911456,125.06651472221462,0.05156032481585553,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P01,INITIAL_LOAD_TRANSFER_FR,front_left_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,-0.03421349450945854,-0.05252398923039436,13.266666666666666,0.29246231155779273,0.3,3.88000000000005,0.0,0.0,1.82098892079225e-12,3.345216791165559,0.2200239756719921,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.03645225241780281,-0.048984880559146404,2.995346022057678,0.0,-0.05252398923039436,3.88000000000005,3.001936501460542,0.0,1.343254745006561,0.0,2.123465202748775,1.3286431901227178e-12,0.0,1.3286431901227178e-12,0.0,3.15898510099535e-12,0.2200239756719921,0.0,0.0,1594,0.22587733017499798,0.22613677603395368,0.11486139789004236,0.4794905185699463,0.49553051590919495,3.345216791165559,wheel,effective_drive_target,"max(command_target,measured_actual)",0.19396119356155045,0.19396119356155656,0.2200239756719921,0.19396119356155045,0.19396119356155656,3.15898510099535e-12,0.14973734267220626,0.15006680072661924,0.2200239756719921
P01,INITIAL_LOAD_TRANSFER_FR,front_right_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,3.641616422100924e-05,-0.028996708282647887,13.266666666666666,0.29246231155779273,0.3,3.88000000000005,0.0,0.0,1.82098892079225e-12,0.03177411165863816,0.005813707597070396,True,True,True,wlr50_clean.conformance_policy.v2,30.0,3.2344425562769175e-05,-0.018395563994999975,3.8816639260651216,0.0,-0.028996708282647887,3.88000000000005,3.881438257474559,0.0,0.0024430431949440386,0.0,6.3606865725887465,1.3286431901227178e-12,0.0,1.3286431901227178e-12,0.0,3.15898510099535e-12,0.005813707597070396,0.0,0.0,1594,0.29222649408070295,0.29221276962728265,0.004696512362258236,0.30276817083358765,0.30267196893692017,0.03177411165863816,wheel,effective_drive_target,"max(command_target,measured_actual)",0.19396119356155045,0.19396119356155656,0.005813707597070396,0.19396119356155045,0.19396119356155656,3.15898510099535e-12,0.1940443732227884,0.19403309205032065,0.005813707597070396
P01,INITIAL_LOAD_TRANSFER_FR,rear_left_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,0.018589237704873085,0.03322749864310026,13.266666666666666,0.29246231155779273,0.3,3.88000000000005,0.0,0.0,1.82098892079225e-12,0.2452119378512511,0.21285298785039672,True,True,True,wlr50_clean.conformance_policy.v2,30.0,0.019256627187132835,0.025761567056179047,4.466709324854458,0.0,0.03322749864310026,3.88000000000005,4.457201800597913,0.0,0.40043368935585016,0.0,4.479558952152728,1.3286431901227178e-12,0.0,1.3286431901227178e-12,0.0,3.15898510099535e-12,0.21285298785039672,0.0,0.0,1594,0.3368163632306824,0.3362853344861722,0.15766120725747623,0.46886542439460754,0.46771571040153503,0.2452119378512511,wheel,effective_drive_target,"max(command_target,measured_actual)",0.19396119356155045,0.19396119356155656,0.21285298785039672,0.19396119356155045,0.19396119356155656,3.15898510099535e-12,0.2232907917374469,0.22281551061563892,0.21285298785039672
P01,INITIAL_LOAD_TRANSFER_FR,rear_right_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,-0.01670078933238983,0.007265960797667503,13.266666666666666,0.29246231155779273,0.3,3.88000000000005,0.0,0.0,1.82098892079225e-12,6.373333749487578,0.36678645398598075,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-0.0015365174040198326,0.011951752938330173,3.688643055013309,0.0,0.007265960797667503,3.88000000000005,3.6751136119516254,0.0,9.098563157021998,0.0,2.8114752843976016,1.3286431901227178e-12,0.0,1.3286431901227178e-12,0.0,3.15898510099535e-12,0.36678645398598075,0.0,0.0,1594,0.27796605005398756,0.2773448985462618,0.22346308392880876,0.3914879262447357,0.4164387583732605,6.373333749487578,wheel,effective_drive_target,"max(command_target,measured_actual)",0.19396119356155045,0.19396119356155656,0.36678645398598075,0.19396119356155045,0.19396119356155656,3.15898510099535e-12,0.1843952601992058,0.1837189233630029,0.36678645398598075
P02,FR_ACTIVE_LIFT,front_right_knee,0.0,45.9,45.9,0.4666666666666419,98.35714285714808,150.0,0.0,0.0,45.9,43.4618175181905,43.43475605523486,0.466666666666665,98.3571428571432,150.00000000000853,0.0,0.6811960451639621,0.6865636935718967,4.9484226240438175e-12,0.010260693785264386,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,43.14914853346024,43.119623319885356,0.0,45.9,43.43475605523486,0.0,0.0,0.0,0.6811960451639621,0.0,0.6865636935718967,4.9557388774434566e-12,5.6843418860808015e-12,4.9557388774434566e-12,5.6843418860808015e-12,0.0,0.0,0.48568522620913784,1.0581377477323264,58,81.3884545271993,81.39256496521828,0.005050394485141519,121.15110878050481,121.1386778362154,0.010260693785264386,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03,FR_CROSS_AND_PLACE,front_left_knee,0.0,-22.9,-22.9,1.1999999999999318,19.083333333334416,150.0,0.0,0.0,-22.9,-22.663409136736917,-22.539679422823756,1.1999999999999993,19.083333333333343,150.00000000000853,0.0,1.4888022821412985,1.441767806918161,5.625129991434446e-12,3.223465179533373,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,-23.004344859347274,-22.869844250608015,0.0,-22.9,-22.539679422823756,0.0,0.0,0.0,1.4888022821412985,0.0,1.441767806918161,5.622285751952963e-12,5.6843418860808015e-12,5.622285751952963e-12,5.6843418860808015e-12,0.0,0.0,0.22691390648021353,0.9908904213109763,146,29.888083812061105,30.03650568487306,0.49659213265475577,123.74991379742463,127.73894917838717,3.223465179533373,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03,FR_CROSS_AND_PLACE,rear_left_hip,37.6,17.5,-20.1,1.1999999999999318,16.750000000000952,150.0,0.0,37.6,17.5,17.13037672032415,-21.769301866069696,1.1999999999999993,16.75000000000001,150.00000000000853,0.0,3.104278501469994,3.0871520569839848,5.625129991434446e-12,6.944591922440888,0.0,True,True,True,wlr50_clean.conformance_policy.v2,30.0,17.75433669911962,-21.148784302615915,0.0,-20.1,-21.769301866069696,0.0,0.0,0.0,3.104278501469994,0.0,3.0871520569839848,5.6207111933258465e-12,5.6843418860808015e-12,5.6207111933258465e-12,5.6843418860808015e-12,0.0,0.0,0.28437920685246937,1.414821924639151,146,33.37192035919353,31.05437667356557,6.944591922440888,168.53540954368486,175.52520657422247,4.147375942813861,servo,measured_actual,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03,FR_CROSS_AND_PLACE,front_left_ankle,0.0,0.0,0.0,1.1999999999999318,0.79,0.79,-0.9479999999999461,0.0,0.0,0.07891353219747543,0.11941561847925186,1.1999999999999993,0.7899999999999995,0.79,-0.9479999999999988,0.0,0.0,5.625129991434446e-12,29.970202511669367,0.4964997768899391,False,True,True,wlr50_clean.conformance_policy.v2,30.0,0.0966917872428894,0.13624364882707596,-0.9219278792850151,0.0,0.11941561847925186,-0.9479999999999988,-0.9173505094212788,0.0,10.66695302724838,0.0,10.096818208694456,7.026728003956686e-14,0.0,7.026728003956686e-14,0.0,5.562826336466027e-12,0.4964997768899391,0.0,0.0,146,0.7586039793103525,0.7550433553142907,0.4693653201369699,1.0415289402008057,1.3536772727966309,29.970202511669367,wheel,effective_drive_target,"max(command_target,measured_actual)",-0.04739051842689247,-0.04739051842689511,0.4964997768899391,-0.04739051842689247,-0.04739051842689511,5.562826336466027e-12,-0.04608717315561697,-0.04585835044372445,0.4964997768899391
P03,FR_CROSS_AND_PLACE,rear_left_ankle,0.0,0.0,0.0,1.1999999999999318,0.61,0.61,0.7319999999999584,0.0,0.0,-0.0024030781351029873,-0.04946619784459472,1.1999999999999993,0.6099999999999985,0.61,0.7319999999999979,0.0,0.0,5.625129991434446e-12,7.217470398676378,36.29302387410797,False,False,False,wlr50_clean.conformance_policy.v2,30.0,-0.0030876826494932175,-0.04850427247583866,0.38010620886389873,0.0,-0.04946619784459472,0.7319999999999979,0.5180582459938402,0.0,0.41076270863413805,0.0,0.5771552212536334,2.3660490688732845e-13,0.0,2.3660490688732845e-13,0.0,5.399445311018828e-12,36.29302387410797,0.0,0.0,146,0.7314684218750973,0.6786749050505969,7.217470398676378,2.0614991188049316,1.9908967018127441,3.4248094674479566,wheel,effective_drive_target,"max(command_target,measured_actual)",0.03659267878532203,0.03659267878532401,36.29302387410797,0.03659267878532203,0.03659267878532401,5.399445311018828e-12,0.019001508750360607,0.0258977308575697,36.29302387410797
