"run","source_global","end_global","source_phase","optimized_decisions","physics_ticks","nonterminal_handoffs","terminal_handoffs","native_effect_ticks","own_phase_effect_ticks","native_audit_anomaly_rows","state_write_anomaly_rows","sampled"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P01",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P02",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P03",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P04",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P05",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P06",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P07",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P08",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P09",0,0,0,0,0,0,0,0,"false"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P10",2,16,2,0,16,16,0,0,"true"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P11",28,224,2,0,224,222,0,0,"true"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P12",516,4121,1,0,4121,4119,0,0,"true"
"20260908T0006516364582Z_g2f27c6f5065a_8dbd131ba139490b934bde25a4886d48",126208,127232,"P13",478,3824,0,0,3824,3823,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P01",14,112,6,0,112,112,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P02",764,6112,6,0,6112,6106,0,0,"true"
