physics_tick,simulation_time_s,body_name,role,obstacle_pair_active,persistent_or_penetrating,body_collision,source,reason
89,0.7416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
90,0.75,base_link,BODY,False,False,False,body_contacts.jsonl,
91,0.7583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
92,0.7666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
93,0.775,base_link,BODY,False,False,False,body_contacts.jsonl,
94,0.7833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
95,0.7916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
96,0.8,base_link,BODY,False,False,False,body_contacts.jsonl,
97,0.8083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
98,0.8166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
99,0.825,base_link,BODY,False,False,False,body_contacts.jsonl,
100,0.8333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
101,0.8416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
102,0.85,base_link,BODY,False,False,False,body_contacts.jsonl,
103,0.8583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
104,0.8666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
105,0.875,base_link,BODY,False,False,False,body_contacts.jsonl,
106,0.8833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
107,0.8916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
108,0.9,base_link,BODY,False,False,False,body_contacts.jsonl,
109,0.9083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
110,0.9166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
111,0.9249999999999999,base_link,BODY,False,False,False,body_contacts.jsonl,
112,0.9333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
113,0.9416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
114,0.95,base_link,BODY,False,False,False,body_contacts.jsonl,
115,0.9583333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
116,0.9666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
117,0.975,base_link,BODY,False,False,False,body_contacts.jsonl,
118,0.9833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
119,0.9916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
120,1.0,base_link,BODY,False,False,False,body_contacts.jsonl,
121,1.0083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
122,1.0166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
123,1.025,base_link,BODY,False,False,False,body_contacts.jsonl,
124,1.0333333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
125,1.0416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
126,1.05,base_link,BODY,False,False,False,body_contacts.jsonl,
127,1.0583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
128,1.0666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
129,1.075,base_link,BODY,False,False,False,body_contacts.jsonl,
130,1.0833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
131,1.0916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
132,1.1,base_link,BODY,False,False,False,body_contacts.jsonl,
133,1.1083333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
134,1.1166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
135,1.125,base_link,BODY,False,False,False,body_contacts.jsonl,
136,1.1333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
137,1.1416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
138,1.15,base_link,BODY,False,False,False,body_contacts.jsonl,
139,1.1583333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
140,1.1666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
141,1.175,base_link,BODY,False,False,False,body_contacts.jsonl,
142,1.1833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
143,1.1916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
144,1.2,base_link,BODY,False,False,False,body_contacts.jsonl,
145,1.2083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
146,1.2166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
147,1.225,base_link,BODY,False,False,False,body_contacts.jsonl,
148,1.2333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
149,1.2416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
150,1.25,base_link,BODY,False,False,False,body_contacts.jsonl,
151,1.2583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
152,1.2666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
153,1.275,base_link,BODY,False,False,False,body_contacts.jsonl,
154,1.2833333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
155,1.2916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
156,1.3,base_link,BODY,False,False,False,body_contacts.jsonl,
157,1.3083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
158,1.3166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
159,1.325,base_link,BODY,False,False,False,body_contacts.jsonl,
160,1.3333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
161,1.3416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
162,1.35,base_link,BODY,False,False,False,body_contacts.jsonl,
163,1.3583333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
164,1.3666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
165,1.375,base_link,BODY,False,False,False,body_contacts.jsonl,
166,1.3833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
167,1.3916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
168,1.4,base_link,BODY,False,False,False,body_contacts.jsonl,
169,1.4083333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
170,1.4166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
171,1.425,base_link,BODY,False,False,False,body_contacts.jsonl,
172,1.4333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
173,1.4416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
