phase,state,channel,reference_start,reference_end,reference_delta,reference_active_duration,reference_average_velocity,reference_peak_velocity,reference_wheel_integral,fsm_start,fsm_command_end,fsm_actual_end,fsm_delta,fsm_active_duration,fsm_average_velocity,fsm_peak_velocity,fsm_wheel_integral,endpoint_error_percent,delta_error_percent,duration_error_percent,velocity_error_percent,wheel_integral_error_percent,within_15_percent,reference_actual_end,reference_actual_delta,reference_actual_wheel_integral,fsm_command_delta,fsm_actual_delta,fsm_command_wheel_integral,fsm_actual_wheel_integral,command_endpoint_error_percent,actual_endpoint_error_percent,command_delta_error_percent,actual_delta_error_percent,average_velocity_error_percent,peak_velocity_error_percent,command_wheel_integral_error_percent,actual_wheel_integral_error_percent,trajectory_rmse,trajectory_rmse_percent,active_sample_count,reference_measured_average_velocity,fsm_measured_average_velocity,measured_average_velocity_error_percent,reference_measured_peak_velocity,fsm_measured_peak_velocity,measured_peak_velocity_error_percent
P01,INITIAL_LOAD_TRANSFER_FR,rear_left_hip,0.0,37.6,37.6,13.266666666666424,5.9021231621121455,125.13103268911456,0.0,0.0,37.6,38.94865787293201,38.73598217729987,13.266666666666666,5.862514478873787,125.06651472221462,0.0,0.0002270674591143427,0.16958809922057566,1.82098892079225e-12,0.5941302485753797,0.0,True,38.94874325029664,38.67221705199293,0.0,37.6,38.73598217729987,0.0,0.0,0.0,0.0002270674591143427,0.0,0.16958809922057566,0.5941302485753797,0.05156032481585553,0.0,0.0,0.06221076605420466,0.16545416503777835,1594,5.9021231621121455,5.862514478873787,0.5941302485753797,125.13103268911456,125.06651472221462,0.05156032481585553
P01,INITIAL_LOAD_TRANSFER_FR,front_left_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,-0.03421349450945854,-0.05252398923039436,13.266666666666666,0.29246231155779273,0.3,3.001936501460542,0.0,0.0,1.82098892079225e-12,1.1657341758564142e-12,3.15898510099535e-12,True,-0.03645225241780281,-0.048984880559146404,2.995346022057678,0.0,-0.05252398923039436,3.88000000000005,3.001936501460542,0.0,0.6716273725032805,0.0,1.0617326013743875,1.1657341758564142e-12,0.0,3.15898510099535e-12,0.2200239756719921,0.0,0.0,1594,0.22587733017499798,0.22613677603395368,0.07783375768671273,0.4794905185699463,0.49553051590919495,3.345216791165559
P01,INITIAL_LOAD_TRANSFER_FR,front_right_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,3.641616422100924e-05,-0.028996708282647887,13.266666666666666,0.29246231155779273,0.3,3.881438257474559,0.0,0.0,1.82098892079225e-12,1.1657341758564142e-12,3.15898510099535e-12,True,3.2344425562769175e-05,-0.018395563994999975,3.8816639260651216,0.0,-0.028996708282647887,3.88000000000005,3.881438257474559,0.0,0.0012215215974720193,0.0,3.1803432862943732,1.1657341758564142e-12,0.0,3.15898510099535e-12,0.005813707597070396,0.0,0.0,1594,0.29222649408070295,0.29221276962728265,0.004117336026088213,0.30276817083358765,0.30267196893692017,0.028860569000244137
P01,INITIAL_LOAD_TRANSFER_FR,rear_left_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,0.018589237704873085,0.03322749864310026,13.266666666666666,0.29246231155779273,0.3,4.457201800597913,0.0,0.0,1.82098892079225e-12,1.1657341758564142e-12,3.15898510099535e-12,True,0.019256627187132835,0.025761567056179047,4.466709324854458,0.0,0.03322749864310026,3.88000000000005,4.457201800597913,0.0,0.20021684467792508,0.0,2.239779476076364,1.1657341758564142e-12,0.0,3.15898510099535e-12,0.21285298785039672,0.0,0.0,1594,0.3368163632306824,0.3362853344861722,0.15766120725747623,0.46886542439460754,0.46771571040153503,0.2452119378512511
P01,INITIAL_LOAD_TRANSFER_FR,rear_right_ankle,0.0,0.0,0.0,13.266666666666424,0.29246231155778885,0.3,3.8799999999999275,0.0,0.0,-0.01670078933238983,0.007265960797667503,13.266666666666666,0.29246231155779273,0.3,3.6751136119516254,0.0,0.0,1.82098892079225e-12,1.1657341758564142e-12,3.15898510099535e-12,True,-0.0015365174040198326,0.011951752938330173,3.688643055013309,0.0,0.007265960797667503,3.88000000000005,3.6751136119516254,0.0,4.549281578510999,0.0,1.4057376421988008,1.1657341758564142e-12,0.0,3.15898510099535e-12,0.36678645398598075,0.0,0.0,1594,0.27796605005398756,0.2773448985462618,0.186345452317721,0.3914879262447357,0.4164387583732605,6.373333749487578
P02,FR_ACTIVE_LIFT,front_right_knee,0.0,45.9,45.9,0.4666666666666419,81.3884545271993,121.15110878050481,0.0,0.0,45.9,43.4618175181905,43.43475605523486,0.466666666666665,81.3925649652183,121.1386778362154,0.0,0.6811960451639621,0.6865636935718967,4.9484226240438175e-12,0.010260693785264386,0.0,True,43.14914853346024,43.119623319885356,0.0,45.9,43.43475605523486,0.0,0.0,0.0,0.6811960451639621,0.0,0.6865636935718967,0.0050503944851589795,0.010260693785264386,0.0,0.0,0.48568522620913784,1.0581377477323264,58,81.3884545271993,81.3925649652183,0.0050503944851589795,121.15110878050481,121.1386778362154,0.010260693785264386
P03,FR_CROSS_AND_PLACE,front_left_knee,0.0,-22.9,-22.9,1.1999999999999318,29.888083812061105,123.74991379742463,0.0,0.0,-22.9,-22.663409136736917,-22.539679422823756,1.1999999999999993,30.03650568487306,127.73894917838717,0.0,1.4888022821412985,1.441767806918161,5.625129991434446e-12,3.223465179533373,0.0,True,-23.004344859347274,-22.869844250608015,0.0,-22.9,-22.539679422823756,0.0,0.0,0.0,1.4888022821412985,0.0,1.441767806918161,0.49659213265475577,3.223465179533373,0.0,0.0,0.22691390648021353,0.9908904213109763,146,29.888083812061105,30.03650568487306,0.49659213265475577,123.74991379742463,127.73894917838717,3.223465179533373
P03,FR_CROSS_AND_PLACE,rear_left_hip,37.6,17.5,-20.1,1.1999999999999318,33.37192035919353,168.53540954368486,0.0,37.6,17.5,17.13037672032415,-21.769301866069696,1.1999999999999993,31.054376673565574,175.52520657422247,0.0,3.104278501469994,3.0871520569839848,5.625129991434446e-12,6.944591922440877,0.0,True,17.75433669911962,-21.148784302615915,0.0,-20.1,-21.769301866069696,0.0,0.0,0.0,3.104278501469994,0.0,3.0871520569839848,6.944591922440877,4.147375942813861,0.0,0.0,0.2843792068524694,1.4148219246391514,146,33.37192035919353,31.054376673565574,6.944591922440877,168.53540954368486,175.52520657422247,4.147375942813861
P03,FR_CROSS_AND_PLACE,front_left_ankle,0.0,0.0,0.0,1.1999999999999318,0.79,0.79,-0.9479999999999461,0.0,0.0,0.07891353219747543,0.11941561847925186,1.1999999999999993,0.7899999999999995,0.79,-0.9173505094212788,0.0,0.0,5.625129991434446e-12,7.026728003956686e-14,5.562826336466027e-12,True,0.0966917872428894,0.13624364882707596,-0.9219278792850151,0.0,0.11941561847925186,-0.9479999999999988,-0.9173505094212788,0.0,5.33347651362419,0.0,5.048409104347228,7.026728003956686e-14,0.0,5.562826336466027e-12,0.4964997768899391,0.0,0.0,146,0.7586039793103525,0.7550433553142907,0.4693653201369699,1.0415289402008057,1.3536772727966309,29.970202511669367
P03,FR_CROSS_AND_PLACE,rear_left_ankle,0.0,0.0,0.0,1.1999999999999318,0.61,0.61,0.7319999999999584,0.0,0.0,-0.0024030781351029873,-0.04946619784459472,1.1999999999999993,0.6099999999999985,0.61,0.5180582459938402,0.0,0.0,5.625129991434446e-12,2.3660490688732845e-13,5.399445311018828e-12,True,-0.0030876826494932175,-0.04850427247583866,0.38010620886389873,0.0,-0.04946619784459472,0.7319999999999979,0.5180582459938402,0.0,0.20538135431706903,0.0,0.2885776106268167,2.3660490688732845e-13,0.0,5.399445311018828e-12,36.29302387410797,0.0,0.0,146,0.7314684218750973,0.6786749050505969,7.217470398676378,2.0614991188049316,1.9908967018127441,3.4248094674479566
P04,FL_UNLOAD_PREP,rear_left_hip,17.5,6.9,-10.6,4.799999999999727,2.6677643844675307,40.77779004320147,0.0,17.5,6.9,8.177978619523092,-8.952398100801059,4.800000000000001,2.4050263837135724,36.337688969451285,0.0,1.4061395821669898,3.388986186904006,5.6991448597427944e-12,10.888527968401869,0.0,True,8.365463897145357,-9.404262925721593,0.0,-10.6,-8.952398100801059,0.0,0.0,0.0,1.4061395821669898,0.0,3.388986186904006,3.9410700113093755,10.888527968401869,0.0,0.0,0.47307973297115685,4.463016348784499,578,2.6677643844675307,2.4050263837135724,3.9410700113093755,40.77779004320147,36.337688969451285,10.888527968401869
P04,FL_UNLOAD_PREP,front_left_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,-0.027323152869939804,-0.10623668506741524,4.800000000000001,0.2750000000000007,0.3,1.6074664533875598,0.0,0.0,5.6991448597427944e-12,1.9984014443252815e-13,5.938011025647008e-12,True,-0.059043314307928085,-0.10104450955986977,1.604287749206711,0.0,-0.10623668506741524,1.3200000000000034,1.6074664533875598,0.0,9.516048431396483,0.0,1.5576526522636411,1.9984014443252815e-13,0.0,5.938011025647008e-12,0.19813803243343817,0.0,0.0,578,0.3339746975747604,0.33407136649545927,0.028944983377740187,0.7138329744338989,0.6641798615455627,6.955844667684803
