checkpoint,seed,trial_id,run_directory,phase,action_jerk_rms,active_leg_contact_vertical_speed_abs_m_s,active_leg_min_clearance_m,angular_acceleration_rms_rad_s2,applied_action_rate_rms,applied_high_frequency_fraction,completion_time_s,duration_s,entry_time_s,home_pose_error_rms_deg,lifecycle_transition_count,motion_duration_s,nominal_action_rate_rms,phase_completion_observed,phase_duration_s,phase_entry_action_jump_rms,phase_entry_servo_jump_peak_abs,phase_entry_wheel_jump_peak_abs,pitch_rate_p95_abs_rad_s,pitch_rate_peak_abs_rad_s,pitch_rate_rms_rad_s,pitch_rms_rad,placement_contact_impulse_n_s,recovery_transition_count,residual_action_jerk_rms,residual_action_rate_rms,residual_high_frequency_fraction,residual_peak,residual_rms,residual_spectral_energy_fraction_0p0_0p5_hz,residual_spectral_energy_fraction_0p5_1p0_hz,residual_spectral_energy_fraction_1p0_2p0_hz,residual_spectral_energy_fraction_2p0_3p0_hz,residual_spectral_energy_fraction_3p0_nyquist_hz,residual_spectrum_normalization,roll_rate_peak_abs_rad_s,roll_rate_rms_rad_s,roll_rms_rad,sample_count,settling_time_s,wheel_slip_integral,wheel_stop_completed,wheel_stop_time_s
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P01,0.18925561755900064,0.404917448759079,-0.050833432324942696,3.6478798625782187,0.13378207787689272,0.286069976558353,13.333333333333334,13.333333333333334,0.0,13.526652138877692,3,13.266666666666666,0.13378207787689272,True,13.333333333333334,0.0,0.0,0.0,0.04772338818615042,0.7273915490534109,0.06792319127601427,0.17392661930600234,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.9754308243855169,0.09679211010939494,0.23411481727681507,1600,12.608333333333334,3.9243812755463874,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P02,1.3104727046670677,0.20617447793483734,0.043704477749052895,0.8899011767257616,0.9192603997451878,0.545703069304331,13.866666666666667,0.5333333333333337,13.333333333333334,16.69531974362021,4,0.466666666666665,0.9192603997451878,True,0.5333333333333332,2.25166604983954,7.8,0.0,0.021498414914120398,0.022108695119679524,0.018815910142653797,0.17834483753050562,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.05066211664356782,0.036397837140497345,0.2375868843486255,64,0.43333333333333407,0.09676027045871628,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P03,0.03150970207024426,0.7077558636665344,-0.0006303809068766708,8.199747112328428,0.022206824221346746,0.6802787959449148,15.133333333333333,1.2666666666666662,13.866666666666667,19.579482634884833,4,1.1999999999999993,0.022206824221346746,True,1.2666666666666657,8.800158972011529,22.9,0.79,0.8887414572617442,1.1524162108075173,0.3058810849254286,0.05920586065651174,0.31036764418263496,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.8092546413103201,0.2598999552476224,0.11110239061911877,152,1.024999999999999,3.9799080177862787,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P04,0.08126294063834569,0.014430632814764977,-0.050974245148760644,1.4435486452132442,0.057412274293616575,0.11601309003407319,20.0,4.866666666666668,15.133333333333333,17.88910739158865,4,4.800000000000001,0.057412274293616575,True,4.866666666666667,0.17320508075688773,0.0,0.3,0.05813716485606655,0.08335765761546887,0.04134682047931946,0.025384890066449575,33.68981091976196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.10652362429775093,0.029867961533528713,0.05771706866990491,584,3.058333333333334,2.587675582593759,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P05,0.4310806119944143,0.2961973249912262,-0.04916234217868504,1.172155040980907,0.304690285721035,0.02483030854519492,29.8,9.8,20.0,26.76058293403827,4,9.733333333333334,0.304690285721035,True,9.8,0.9237604307034021,3.200000000000003,0.0,0.03630983284555764,0.0816659251707542,0.030409923995543913,0.01289200627166586,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.14644472944944828,0.056369669555300275,0.04938472606574337,1176,2.966666666666669,6.123886932830265,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P06,0.004420856697673888,0.06936418265104294,-0.0011394871054714595,1.180437959293002,0.003125508750512121,0.6197334995684676,55.4,25.599999999999998,29.8,18.581239029650703,4,25.533333333333335,0.003125508750512121,True,25.599999999999998,0.17320508075688773,0.0,0.3,0.01517575838956649,0.04912949556407077,0.009279056458026612,0.01932890839171835,1.0777053005642188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.10508448900912237,0.015887044609888486,0.04166691232367734,3072,8.274999999999999,5.420516131260119,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P07,0.5157658395963214,0.017494995146989822,-0.050383212715676765,2.933757068301005,0.3638195346380111,0.09739128605802055,57.13333333333333,1.7333333333333347,55.4,21.301531652241298,4,1.6666666666666643,0.3638195346380111,True,1.7333333333333343,4.2723919920032305,14.8,0.0,0.2427694773911876,0.31582653810889466,0.09259989263588085,0.01790801358243371,0.024194614092509188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.20934004294291694,0.07532360908821369,0.043391928097927725,208,1.2666666666666662,1.626662440663949,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P08,0.4140659576492017,0.10018007457256317,-0.050845502615264396,3.4581132242427324,0.29011491975882003,0.5233424327260007,57.6,0.46666666666666906,57.13333333333333,19.162793897874487,4,0.3999999999999986,0.29011491975882003,True,0.46666666666666856,2.1361959960016152,7.4,0.0,0.4468870048923887,0.46113226125433393,0.22757234381004518,0.08397290520280884,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.43411243110062037,0.3081841397550415,0.12959521642897343,56,0.3583333333333348,1.8200639346584155,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P09,1.0110206708741745,0.43886715173721313,-0.04261097565322254,4.119230903564619,0.7144890643240475,0.018096516424071233,64.86666666666666,7.2666666666666595,57.6,25.61198468383794,4,7.199999999999996,0.7144890643240475,True,7.266666666666659,0.46188021535170065,1.6,0.0,0.21375293573696444,0.46127745384108393,0.08823001930982348,0.09600020028509627,11.596874681031053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,1.0996479545292484,0.16875728697006315,0.23773675909671987,872,1.7249999999999948,6.5439418095578805,,
pure_fsm,2001,episode_000_seed_2001,C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_phase_v1\baseline-fsm-eval\20260905T010448442021Z_g36a0d57eb96a_c5dc85cd3cb31_s2001_n1_baseline-fsm-eval-fresh-process\episode_000_seed_2001,P10,0.5447986376227051,0.20203585922718048,-0.04981902770208403,7.9617970837851,0.37744756810273217,1.0,65.08333333333333,0.21666666666666193,64.86666666666666,26.072135640259717,4,0.11666666666666003,0.37744756810273217,True,0.21666666666666856,0.0,0.0,0.0,0.3845437153151385,0.3890804743532816,0.17625663673108666,0.1600136021435608,0.07607562144597439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase_scale_full12,0.575999379270994,0.2902769077080239,0.028414404660192228,26,0.16666666666666477,0.49831262150721645,,
