trial_id,phase,channel,channel_kind,metric,error_percent,within_30_percent,warning,blocks_task_success,source
trial_010_20260901_clean_v010,P02,front_right_knee,servo,actual_endpoint_error_percent,0.6811960451639621,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,command_delta_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,actual_delta_error_percent,0.6865636935718967,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,duration_error_percent,4.9484226240438175e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,command_average_velocity_error_percent,4.9557388774434566e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,measured_average_velocity_error_percent,0.005050394485141519,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,command_peak_velocity_error_percent,5.6843418860808015e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,measured_peak_velocity_error_percent,0.010260693785264386,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P02,front_right_knee,servo,trajectory_rmse_percent,1.0581377477323264,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,command_endpoint_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,actual_endpoint_error_percent,1.4888022821412985,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,command_delta_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,actual_delta_error_percent,1.441767806918161,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,duration_error_percent,5.625129991434446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,command_average_velocity_error_percent,5.622285751952963e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,measured_average_velocity_error_percent,0.49659213265475577,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,command_peak_velocity_error_percent,5.6843418860808015e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,measured_peak_velocity_error_percent,3.223465179533373,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_knee,servo,trajectory_rmse_percent,0.9908904213109763,True,,False,raw observation/full12 ledgers vs immutable v010 contract
